alpha,spin_policy,chi,q_EP,status,mass_msun,M_Omega_res,M_eta,z,R_res_over_r_cloud,T_orb_M,T_orb_seconds,T_split_M,T_split_seconds,T_grow_M,T_grow_seconds,T_abs_M,T_abs_seconds,T_eta_M,T_eta_seconds,T_GW_M,T_GW_seconds,T_sweep_M,T_sweep_seconds,T_width_M,T_width_seconds
0.05,high_0.9,0.9,0.6481911252949751,physical_root,10.0,1.1718750000000006e-09,3.888575938082543e-14,40116.03423956576,664.194102124475,5361651462.126577,264087.6573767377,426666666.66666645,21015.428040533323,42626800196836.586,2099579184.6909642,18412103727923.535,906886502.2711233,25716355188195.195,1266656746.6929193,6.217962655664865e+22,3.062651876926137e+18,5150725579712378.0,253698522133.54645,2.063276370492946e+18,101626490840220.23
0.05,high_0.9,0.9,0.6481911252949751,physical_root,100.0,1.1718750000000006e-09,3.888575938082543e-14,40116.03423956576,664.194102124475,5361651462.126577,2640876.573767377,426666666.66666645,210154.28040533324,42626800196836.586,20995791846.90964,18412103727923.535,9068865022.711233,25716355188195.195,12666567466.929192,6.217962655664865e+22,3.062651876926137e+19,5150725579712378.0,2536985221335.4644,2.063276370492946e+18,1016264908402202.4
0.05,high_0.9,0.9,0.6481911252949751,physical_root,1000000.0,1.1718750000000006e-09,3.888575938082543e-14,40116.03423956576,664.194102124475,5361651462.126577,26408765737.67377,426666666.66666645,2101542804.0533323,42626800196836.586,209957918469096.44,18412103727923.535,90688650227112.33,25716355188195.195,126665674669291.92,6.217962655664865e+22,3.062651876926137e+23,5150725579712378.0,2.5369852213354644e+16,2.063276370492946e+18,1.0162649084022024e+19
0.05,high_0.99,0.99,0.5381052997652155,physical_root,10.0,1.2890625000000003e-09,4.1856378192233235e-14,38575.85688127458,609.1057844160218,4874228601.933253,240079.68852430707,387878787.8787878,19104.934582303027,35646626676501.36,1755771369.8619616,17966349058505.973,884930896.3831314,23891221438398.547,1176759949.0760436,5.676704128298857e+22,2.796055479273355e+18,4692412083812622.0,231124332384.12476,1.8432486778530025e+18,90789046758346.83
0.05,high_0.99,0.99,0.5381052997652155,physical_root,100.0,1.2890625000000003e-09,4.1856378192233235e-14,38575.85688127458,609.1057844160218,4874228601.933253,2400796.885243071,387878787.8787878,191049.34582303028,35646626676501.36,17557713698.619614,17966349058505.973,8849308963.831314,23891221438398.547,11767599490.760437,5.676704128298857e+22,2.796055479273355e+19,4692412083812622.0,2311243323841.2476,1.8432486778530025e+18,907890467583468.4
0.05,high_0.99,0.99,0.5381052997652155,physical_root,1000000.0,1.2890625000000003e-09,4.1856378192233235e-14,38575.85688127458,609.1057844160218,4874228601.933253,24007968852.430706,387878787.8787878,1910493458.2303028,35646626676501.36,175577136986196.16,17966349058505.973,88493089638313.14,23891221438398.547,117675994907604.36,5.676704128298857e+22,2.7960554792733545e+23,4692412083812622.0,2.3112433238412476e+16,1.8432486778530025e+18,9.078904675834683e+18
0.1,high_0.9,0.9,0.8584865046004255,physical_root,10.0,7.500000000000004e-08,2.3385092755753244e-11,2718.3706242435837,172.82993648733023,83775804.09572777,4126.369646511526,6666666.666666663,328.36606313333317,138413471111.34845,6817542.989017928,25287355902.093258,1245526.4256932735,42762284949.841736,2106252.473934798,7.456271851086726e+17,36725799500898.6,2229539840577.9795,109815783.00742662,232487478466366.6,11451149704.76946
0.1,high_0.9,0.9,0.8584865046004255,physical_root,100.0,7.500000000000004e-08,2.3385092755753244e-11,2718.3706242435837,172.82993648733023,83775804.09572777,41263.69646511527,6666666.666666663,3283.660631333332,138413471111.34845,68175429.89017928,25287355902.093258,12455264.256932737,42762284949.841736,21062524.739347983,7.456271851086726e+17,367257995008986.06,2229539840577.9795,1098157830.0742662,232487478466366.6,114511497047.69461
0.1,high_0.9,0.9,0.8584865046004255,physical_root,1000000.0,7.500000000000004e-08,2.3385092755753244e-11,2718.3706242435837,172.82993648733023,83775804.09572777,412636964.6511527,6666666.666666663,32836606.313333318,138413471111.34845,681754298901.7928,25287355902.093258,124552642569.32736,42762284949.841736,210625247393.47983,7.456271851086726e+17,3.6725799500898606e+18,2229539840577.9795,10981578300742.662,232487478466366.6,1145114970476946.2
0.1,high_0.99,0.99,0.6373671479121584,physical_root,10.0,8.250000000000002e-08,2.3844817824810007e-11,2573.0684001962095,155.48412971380114,76159821.90520708,3751.245133192298,6060606.06060606,298.5146028484848,104938341701.88562,5168728.520458302,26205292615.857098,1290739.3154289008,41937833509.448,2065644.1928757937,7.467019026872006e+17,36778734617934.82,2127314287286.2307,104780672.63452087,215817828351700.7,10630087597.475018
0.1,high_0.99,0.99,0.6373671479121584,physical_root,100.0,8.250000000000002e-08,2.3844817824810007e-11,2573.0684001962095,155.48412971380114,76159821.90520708,37512.45133192298,6060606.06060606,2985.146028484848,104938341701.88562,51687285.20458302,26205292615.857098,12907393.154289009,41937833509.448,20656441.928757936,7.467019026872006e+17,367787346179348.2,2127314287286.2307,1047806726.3452086,215817828351700.7,106300875974.75017
0.1,high_0.99,0.99,0.6373671479121584,physical_root,1000000.0,8.250000000000002e-08,2.3844817824810007e-11,2573.0684001962095,155.48412971380114,76159821.90520708,375124513.3192298,6060606.06060606,29851460.28484848,104938341701.88562,516872852045.8302,26205292615.857098,129073931542.89009,41937833509.448,206564419287.57935,7.467019026872006e+17,3.6778734617934817e+18,2127314287286.2307,10478067263452.086,215817828351700.7,1063008759747501.8
0.2,high_0.9,0.9,2.7825450235077627,root_q_gt_1,10.0,4.800000000000002e-06,1.9067470859193394e-08,168.47013467445495,54.75627262450173,1308996.9389957464,64.4745257267426,104166.66666666661,5.130719736458331,963641637.2045487,47464.08160203263,26956203.93720983,1327.7253845821278,52445340.41167024,2583.1904941001503,4448442419212.629,219107628.64082584,680719779.8418832,33528.791130550286,17670947124.403442,870380.9008616484
0.2,high_0.9,0.9,2.7825450235077627,root_q_gt_1,100.0,4.800000000000002e-06,1.9067470859193394e-08,168.47013467445495,54.75627262450173,1308996.9389957464,644.745257267426,104166.66666666661,51.30719736458331,963641637.2045487,474640.81602032634,26956203.93720983,13277.253845821278,52445340.41167024,25831.904941001503,4448442419212.629,2191076286.4082584,680719779.8418832,335287.9113055029,17670947124.403442,8703809.008616485
0.2,high_0.9,0.9,2.7825450235077627,root_q_gt_1,1000000.0,4.800000000000002e-06,1.9067470859193394e-08,168.47013467445495,54.75627262450173,1308996.9389957464,6447452.5726742605,104166.66666666661,513071.9736458331,963641637.2045487,4746408160.203263,26956203.93720983,132772538.45821278,52445340.41167024,258319049.41001502,4448442419212.629,21910762864082.582,680719779.8418832,3352879113.055029,17670947124.403442,87038090086.16484
0.2,high_0.99,0.99,1.2045563517509486,root_q_gt_1,10.0,5.280000000000001e-06,1.713666413708588e-08,185.13004607352408,42.9224450342748,1189997.2172688607,58.613205206129656,94696.96969696968,4.664290669507575,574281471.702028,28286.18189898176,30738944.039712608,1514.0439058794407,58354414.371457234,2874.241397040993,6657148692130.187,327897256.15920126,793984765.5760617,39107.647749008094,21606310842.362785,1064216.8845212585
0.2,high_0.99,0.99,1.2045563517509486,root_q_gt_1,100.0,5.280000000000001e-06,1.713666413708588e-08,185.13004607352408,42.9224450342748,1189997.2172688607,586.1320520612966,94696.96969696968,46.64290669507575,574281471.702028,282861.8189898176,30738944.039712608,15140.439058794407,58354414.371457234,28742.413970409933,6657148692130.187,3278972561.5920124,793984765.5760617,391076.4774900809,21606310842.362785,10642168.845212584
0.2,high_0.99,0.99,1.2045563517509486,root_q_gt_1,1000000.0,5.280000000000001e-06,1.713666413708588e-08,185.13004607352408,42.9224450342748,1189997.2172688607,5861320.520612965,94696.96969696968,466429.0669507575,574281471.702028,2828618189.8981757,30738944.039712608,151404390.58794406,58354414.371457234,287424139.7040993,6657148692130.187,32789725615920.125,793984765.5760617,3910764774.9008093,21606310842.362785,106421688452.12584
0.3,high_0.99,0.99,4.16018180818585,root_q_gt_1,10.0,6.014249999999999e-05,9.7205089894376e-07,30.607232564553005,25.328911971998284,104471.6349865667,5.145740923446228,8313.588560502143,0.4094850519183607,68715701.86232647,3384.585674396401,518255.79804026557,25.526642414775885,1028752.7135529731,50.671121773068535,3896346069.629057,191914.1729233695,5691451.318620375,280.33191945155875,62974547.11026166,3101.8056168301882
0.3,high_0.99,0.99,4.16018180818585,root_q_gt_1,100.0,6.014249999999999e-05,9.7205089894376e-07,30.607232564553005,25.328911971998284,104471.6349865667,51.457409234462276,8313.588560502143,4.094850519183607,68715701.86232647,33845.85674396401,518255.79804026557,255.26642414775884,1028752.7135529731,506.71121773068535,3896346069.629057,1919141.7292336952,5691451.318620375,2803.3191945155872,62974547.11026166,31018.056168301882
0.3,high_0.99,0.99,4.16018180818585,root_q_gt_1,1000000.0,6.014249999999999e-05,9.7205089894376e-07,30.607232564553005,25.328911971998284,104471.6349865667,514574.09234462277,8313.588560502143,40948.50519183607,68715701.86232647,338458567.4396401,518255.79804026557,2552664.2414775887,1028752.7135529731,5067112.177306853,3896346069.629057,19191417292.336952,5691451.318620375,28033191.945155874,62974547.11026166,310180561.6830188
