alpha,chi,q,mass_msun,status,saturation_spin,cloud_mass_fraction,log_required_occupancy,pre_resonance_efolds,birth_frequency_fraction,latest_birth_frequency_fraction
0.05,0.9,0.6481911252949748,10.0,formation_veto,0.19795898547598761,0.035102050726200616,179.06722928445464,5852592565.042436,0.5,0.9999999386208461
0.05,0.9,0.6481911252949748,100.0,formation_veto,0.19795898547598761,0.035102050726200616,183.6723994704427,5852592565.042436,0.5,0.9999999370423274
0.05,0.9,0.6481911252949748,1000000.0,formation_veto,0.19795898547598761,0.035102050726200616,202.0930802143951,5852592565.042436,0.5,0.9999999307282521
0.05,0.99,0.5381052997652165,10.0,formation_veto,0.19795898547598761,0.03960205072620063,179.18785063337637,6389409697.976145,0.5,0.999999943739874
0.05,0.99,0.5381052997652165,100.0,formation_veto,0.19795898547598761,0.03960205072620063,183.79302081936447,6389409697.976145,0.5,0.9999999422939763
0.05,0.99,0.5381052997652165,1000000.0,formation_veto,0.19795898547598761,0.03960205072620063,202.21370156331682,6389409697.976145,0.5,0.9999999365103823
0.1,0.9,0.8584865046004256,10.0,formation_veto,0.38416692891924115,0.05158330710807588,178.7590206643725,21613559.151440118,0.5,0.9999834086629285
0.1,0.9,0.8584865046004256,100.0,formation_veto,0.38416692891924115,0.05158330710807588,183.3641908503606,21613559.151440118,0.5,0.9999829812520685
0.1,0.9,0.8584865046004256,1000000.0,formation_veto,0.38416692891924115,0.05158330710807588,201.78487159431296,21613559.151440118,0.5,0.9999812716153272
0.1,0.99,0.6373671479121583,10.0,formation_veto,0.38416692891924115,0.06058330710807589,178.91984194474801,28549333.655305155,0.5,0.9999874279691178
0.1,0.99,0.6373671479121583,100.0,formation_veto,0.38416692891924115,0.06058330710807589,183.52501213073612,28549333.655305155,0.5,0.9999871043886117
0.1,0.99,0.6373671479121583,1000000.0,formation_veto,0.38416692891924115,0.06058330710807589,201.9456928746885,28549333.655305155,0.5,0.9999858100704261
0.15,0.99,0.834320742748373,10.0,formation_veto,0.5491359053629593,0.0661296141955561,178.60197410941245,826073.2075983731,0.5,0.9995666134022474
0.15,0.99,0.834320742748373,100.0,formation_veto,0.5491359053629593,0.0661296141955561,183.20714429540055,826073.2075983731,0.5,0.99955544783239
0.15,0.99,0.834320742748373,1000000.0,formation_veto,0.5491359053629593,0.0661296141955561,201.62782503935293,826073.2075983731,0.5,0.9995107901257152
0.175,0.99,0.9895905213066757,10.0,formation_veto,0.621682523891092,0.06445555831905889,178.4221827299566,186359.0505484393,0.5,0.9980860722885033
0.175,0.99,0.9895905213066757,100.0,formation_veto,0.621682523891092,0.06445555831905889,183.0273529159447,186359.0505484393,0.5,0.9980368504123149
0.175,0.99,0.9895905213066757,1000000.0,formation_veto,0.621682523891092,0.06445555831905889,201.44803365989708,186359.0505484393,0.5,0.9978400518741728
0.19,0.999,0.9643654507995599,10.0,formation_veto,0.6617792352304261,0.06407194530621903,178.3339752611003,105335.30471494715,0.5,0.9966246426184613
0.19,0.999,0.9643654507995599,100.0,formation_veto,0.6617792352304261,0.06407194530621903,182.9391454470884,105335.30471494715,0.5,0.9965380319489828
0.19,0.999,0.9643654507995599,1000000.0,formation_veto,0.6617792352304261,0.06407194530621903,201.35982619104075,105335.30471494715,0.5,0.9961918650385649
0.19481448947286337,0.999,0.995898939920129,10.0,formation_veto,0.6740940090200586,0.06329639475943204,178.29677333885078,81863.32805575314,0.5,0.995665428170175
0.19481448947286337,0.999,0.995898939920129,100.0,formation_veto,0.6740940090200586,0.06329639475943204,182.90194352483888,81863.32805575314,0.5,0.9955543821575377
0.19481448947286337,0.999,0.995898939920129,1000000.0,formation_veto,0.6740940090200586,0.06329639475943204,201.32262426879126,81863.32805575314,0.5,0.9951106517646597
0.18928720334405796,0.999,0.9598461027141701,10.0,formation_veto,0.659933016790938,0.06418104099795001,178.33943513533683,109369.44620627235,0.5,0.9967483044227603
0.18928720334405796,0.999,0.9598461027141701,100.0,formation_veto,0.659933016790938,0.06418104099795001,182.94460532132493,109369.44620627235,0.5,0.9966648499834104
0.18928720334405796,0.999,0.9598461027141701,1000000.0,formation_veto,0.659933016790938,0.06418104099795001,201.3652860652773,109369.44620627235,0.5,0.9963312882364617
0.18391673764494623,0.999,0.9269724982259652,10.0,formation_veto,0.64583269824378,0.06495337798187227,178.38017934419776,145501.07188629045,0.5,0.9975516086141368
0.18391673764494623,0.999,0.9269724982259652,100.0,formation_veto,0.64583269824378,0.06495337798187227,182.98534953018586,145501.07188629045,0.5,0.9974886900853894
0.18391673764494623,0.999,0.9269724982259652,1000000.0,formation_veto,0.64583269824378,0.06495337798187227,201.40603027413823,145501.07188629045,0.5,0.9972371613979618
0.17869864305870312,0.999,0.8969231365891006,10.0,formation_veto,0.6318115607184063,0.0656160758464638,178.41911263170041,192801.7149753948,0.5,0.9981498431359105
0.17869864305870312,0.999,0.8969231365891006,100.0,formation_veto,0.6318115607184063,0.0656160758464638,183.02428281768852,192801.7149753948,0.5,0.9981022547684041
0.17869864305870312,0.999,0.8969231365891006,1000000.0,formation_veto,0.6318115607184063,0.0656160758464638,201.4449635616409,192801.7149753948,0.5,0.9979119844538814
0.17869864305870312,0.9940055555555556,0.9725562123233787,10.0,formation_veto,0.6318115607184063,0.06472357540140951,178.4054174225119,163595.88578331165,0.5,0.9978210300015239
0.17869864305870312,0.9940055555555556,0.9725562123233787,100.0,formation_veto,0.6318115607184063,0.06472357540140951,183.01058760849997,163595.88578331165,0.5,0.9977650145396513
0.17869864305870312,0.9940055555555556,0.9725562123233787,1000000.0,formation_veto,0.6318115607184063,0.06472357540140951,201.43126835245235,163595.88578331165,0.5,0.9975410679353481
