dimension,value,alpha,angular_residual,bilinear_norm_error,cf_residual,chi,final,frequency_f_imag,frequency_f_real,frequency_i_imag,frequency_i_real,initial,kernel_abs,kernel_imag,kernel_real,radial_residual,radial_strategy,relative_to_reference,modes_passed
N,150,0.1,8.123339117029422e-17,3.2448713070274765e-10,1.7341036458940375e-13,0.3841668178974366,21-1,-3.5606591898863086e-11,0.09987360457617998,-5.1875556445006673e-20,0.09987367262713033,21+1,8742.720538390737,-8742.720510994117,0.6921285810015962,6.307423942649421e-09,gauss,,
N,250,0.1,8.772258167375467e-17,3.2448700556386595e-10,4.0081891093500233e-13,0.3841668178968723,21-1,-3.547556077199543e-11,0.09987360457684354,4.4771951362252875e-19,0.09987367262697144,21+1,8742.720559721793,-8742.720532325278,0.6921272604826932,5.836101346259397e-10,gauss,1.5443407794870898e-10,
N,400,0.1,5.300784421789063e-17,3.244873149473362e-10,2.6393079771446637e-13,0.3841668178968236,21-1,-3.546446375486724e-11,0.09987360457690089,4.39596776673252e-20,0.09987367262695772,21+1,8742.720561071967,-8742.720533675469,0.692127047358582,4.120858942250041e-11,gauss,,
radial_nodes,40,0.1,5.300784421789063e-17,3.244873149473362e-10,2.6393079771446637e-13,0.3841668178968236,21-1,-3.546446375486724e-11,0.09987360457690089,4.39596776673252e-20,0.09987367262695772,21+1,8739.964493718708,-8739.964003617353,2.9269329759325275,4.120858942250041e-11,gauss,,
radial_nodes,56,0.1,5.300784421789063e-17,3.244873149473362e-10,2.6393079771446637e-13,0.3841668178968236,21-1,-3.546446375486724e-11,0.09987360457690089,4.39596776673252e-20,0.09987367262695772,21+1,8742.10565158968,-8742.105620178887,0.7410755271536772,4.120858942250041e-11,gauss,7.033388268460826e-05,
radial_nodes,80,0.1,5.300784421789063e-17,3.244873149473362e-10,2.6393079771446637e-13,0.3841668178968236,21-1,-3.546446375486724e-11,0.09987360457690089,4.39596776673252e-20,0.09987367262695772,21+1,8742.720561071967,-8742.720533675469,0.692127047358582,4.120858942250041e-11,gauss,,
angular_nodes,48,0.1,4.989076465391293e-17,3.2448746735603255e-10,2.6393079771446637e-13,0.3841668178968236,21-1,-3.546446375486724e-11,0.09987360457690089,4.39596776673252e-20,0.09987367262695772,21+1,8742.720561072007,-8742.720533675509,0.6921270479161123,4.120858942250043e-11,gauss,,
angular_nodes,72,0.1,5.0135217506546736e-17,3.244873116536278e-10,2.6393079771446637e-13,0.3841668178968236,21-1,-3.546446375486724e-11,0.09987360457690089,4.39596776673252e-20,0.09987367262695772,21+1,8742.72056107182,-8742.720533675321,0.692127048202056,4.120858942250041e-11,gauss,1.6852665100981894e-14,
angular_nodes,96,0.1,5.300784421789063e-17,3.244873149473362e-10,2.6393079771446637e-13,0.3841668178968236,21-1,-3.546446375486724e-11,0.09987360457690089,4.39596776673252e-20,0.09987367262695772,21+1,8742.720561071967,-8742.720533675469,0.692127047358582,4.120858942250041e-11,gauss,,
horizon_cutoff,0.0003,0.1,5.300784421789063e-17,1.2834672185845718e-10,2.6393079771446637e-13,0.3841668178968236,21-1,-3.546446375486724e-11,0.09987360457690089,4.39596776673252e-20,0.09987367262695772,21+1,8742.72035428873,-8742.7203268902,0.6921526999474737,4.123498065345141e-11,gauss,,
horizon_cutoff,0.0001,0.1,5.300784421789063e-17,1.462623233956227e-10,2.6393079771446637e-13,0.3841668178968236,21-1,-3.546446375486724e-11,0.09987360457690089,4.39596776673252e-20,0.09987367262695772,21+1,8742.720308131837,-8742.720280733112,0.6921551630821772,4.1228494972681733e-11,gauss,2.8931512585002756e-08,
horizon_cutoff,3e-05,0.1,5.300784421789063e-17,3.244873149473362e-10,2.6393079771446637e-13,0.3841668178968236,21-1,-3.546446375486724e-11,0.09987360457690089,4.39596776673252e-20,0.09987367262695772,21+1,8742.720561071967,-8742.720533675469,0.692127047358582,4.120858942250041e-11,gauss,,
counterterm_order,2,0.1,5.300784421789063e-17,3.2448731494899895e-10,2.6393079771446637e-13,0.3841668178968236,21-1,-3.546446375486724e-11,0.09987360457690089,4.39596776673252e-20,0.09987367262695772,21+1,8742.720561071967,-8742.720533675469,0.692127047358582,4.120858942250041e-11,gauss,,
counterterm_order,3,0.1,5.300784421789063e-17,3.244873149481341e-10,2.6393079771446637e-13,0.3841668178968236,21-1,-3.546446375486724e-11,0.09987360457690089,4.39596776673252e-20,0.09987367262695772,21+1,8742.720561071967,-8742.720533675469,0.692127047358582,4.120858942250041e-11,gauss,0.0,
counterterm_order,4,0.1,5.300784421789063e-17,3.244873149473362e-10,2.6393079771446637e-13,0.3841668178968236,21-1,-3.546446375486724e-11,0.09987360457690089,4.39596776673252e-20,0.09987367262695772,21+1,8742.720561071967,-8742.720533675469,0.692127047358582,4.120858942250041e-11,gauss,,
radial_strategy,quad,0.1,5.300784421789063e-17,3.244873149473362e-10,2.6393079771446637e-13,0.3841668178968236,21-1,-3.546446375486724e-11,0.09987360457690089,4.39596776673252e-20,0.09987367262695772,21+1,8742.720364298788,-8742.720336900322,0.6921519140261523,4.120858942250041e-11,quad,,
N,150,0.25,6.254460174391222e-17,7.145269703234898e-13,1.990523596724632e-13,0.46911119480762925,30+0,-0.0001869337719620021,0.2490136480016675,5.75404205377378e-20,0.24911128042320876,32+2,2300.7992307334985,2294.938985402983,164.110186830029,6.367823999214243e-07,gauss,,
N,250,0.25,6.254460174391222e-17,4.5009856193366517e-13,9.946671612925142e-14,0.46911119480762914,30+0,-0.00018693318398924782,0.24901364793360262,2.858043561842204e-20,0.24911128042320868,32+2,2300.799378946612,2294.939181124385,164.1095277589063,1.4001659857106137e-08,gauss,2.2500497000354315e-09,
N,400,0.25,6.254460174391222e-17,1.6274858978771314e-13,6.041101651914489e-14,0.46911119480762914,30+0,-0.00018693317284103269,0.24901364793448275,4.705731674317935e-20,0.24911128042320868,32+2,2300.7993841235248,2294.939186620621,164.10952347829527,1.7021336717185813e-10,gauss,,
radial_nodes,40,0.25,6.254460174391222e-17,1.6274858978771314e-13,6.041101651914489e-14,0.46911119480762914,30+0,-0.00018693317284103269,0.24901364793448275,4.705731674317935e-20,0.24911128042320868,32+2,2289.793675073116,2285.7088746893705,136.7114280925295,1.7021336717185813e-10,gauss,,
radial_nodes,56,0.25,6.254460174391222e-17,1.6274858978771314e-13,6.041101651914489e-14,0.46911119480762914,30+0,-0.00018693317284103269,0.24901364793448275,4.705731674317935e-20,0.24911128042320868,32+2,2300.106986019943,2294.245156446845,164.10761486883976,1.7021336717185813e-10,gauss,0.00030093806020612535,
radial_nodes,80,0.25,6.254460174391222e-17,1.6274858978771314e-13,6.041101651914489e-14,0.46911119480762914,30+0,-0.00018693317284103269,0.24901364793448275,4.705731674317935e-20,0.24911128042320868,32+2,2300.7993841235248,2294.939186620621,164.10952347829527,1.7021336717185813e-10,gauss,,
angular_nodes,48,0.25,6.376287602765144e-17,3.6144670199745145e-13,6.041101651914489e-14,0.46911119480762914,30+0,-0.00018693317284103269,0.24901364793448275,4.705731674317935e-20,0.24911128042320868,32+2,2300.799384131161,2294.9391866288697,164.10952347000259,1.7015035147123355e-10,gauss,,
angular_nodes,72,0.25,6.825397698862967e-17,2.691298516779723e-13,6.041101651914489e-14,0.46911119480762914,30+0,-0.00018693317284103269,0.24901364793448275,4.705731674317935e-20,0.24911128042320868,32+2,2300.799384124493,2294.939186621679,164.10952347707993,1.7017478045524266e-10,gauss,4.2079162430152316e-13,
angular_nodes,96,0.25,6.254460174391222e-17,1.6274858978771314e-13,6.041101651914489e-14,0.46911119480762914,30+0,-0.00018693317284103269,0.24901364793448275,4.705731674317935e-20,0.24911128042320868,32+2,2300.7993841235248,2294.939186620621,164.10952347829527,1.7021336717185813e-10,gauss,,
horizon_cutoff,0.0003,0.25,6.254460174391222e-17,4.379801030996932e-13,6.041101651914489e-14,0.46911119480762914,30+0,-0.00018693317284103269,0.24901364793448275,4.705731674317935e-20,0.24911128042320868,32+2,2300.7991857142597,2294.9390093190937,164.10922121836296,1.7025245777040265e-10,gauss,,
horizon_cutoff,0.0001,0.25,6.254460174391222e-17,2.829586370014017e-13,6.041101651914489e-14,0.46911119480762914,30+0,-0.00018693317284103269,0.24901364793448275,4.705731674317935e-20,0.24911128042320868,32+2,2300.7990905160527,2294.938912411559,164.10924172253615,1.7022569118756045e-10,gauss,1.2761107033364703e-07,
horizon_cutoff,3e-05,0.25,6.254460174391222e-17,1.6274858978771314e-13,6.041101651914489e-14,0.46911119480762914,30+0,-0.00018693317284103269,0.24901364793448275,4.705731674317935e-20,0.24911128042320868,32+2,2300.7993841235248,2294.939186620621,164.10952347829527,1.7021336717185813e-10,gauss,,
counterterm_order,2,0.25,6.254460174391222e-17,1.5666775879985168e-13,6.041101651914489e-14,0.46911119480762914,30+0,-0.00018693317284103269,0.24901364793448275,4.705731674317935e-20,0.24911128042320868,32+2,2300.79938412335,2294.939186620451,164.1095234782242,1.7018329529970927e-10,gauss,,
counterterm_order,3,0.25,6.254460174391222e-17,4.0091852941405605e-14,6.041101651914489e-14,0.46911119480762914,30+0,-0.00018693317284103269,0.24901364793448275,4.705731674317935e-20,0.24911128042320868,32+2,2300.7993841235593,2294.9391866206556,164.10952347829829,1.7017581146807563e-10,gauss,1.5021213455573397e-14,
counterterm_order,4,0.25,6.254460174391222e-17,1.6274858978771314e-13,6.041101651914489e-14,0.46911119480762914,30+0,-0.00018693317284103269,0.24901364793448275,4.705731674317935e-20,0.24911128042320868,32+2,2300.7993841235248,2294.939186620621,164.10952347829527,1.7021336717185813e-10,gauss,,
radial_strategy,quad,0.25,6.254460174391222e-17,1.6274858978771314e-13,6.041101651914489e-14,0.46911119480762914,30+0,-0.00018693317284103269,0.24901364793448275,4.705731674317935e-20,0.24911128042320868,32+2,2300.7991799866945,2294.9390022099724,164.10924033381264,1.7021336717185813e-10,quad,,
N,150,0.45,8.65074949481582e-17,4.899843541141924e-13,1.5460910452428832e-12,0.5485222024975507,41+1,-0.00015847630378233214,0.44642413631338107,-1.7892852366039634e-20,0.44810586380104145,43+3,901.4318771218014,-872.4671750001453,226.67257804728013,2.898363040404614e-10,gauss,,
N,250,0.45,8.285782004614588e-17,3.3189578051427683e-13,1.6000318105497273e-12,0.5485222024975507,41+1,-0.00015847630380482326,0.4464241363130773,-3.0689292950057054e-19,0.44810586380104145,43+3,901.4318770833963,-872.4671749495834,226.6725780891646,3.983246080981274e-12,gauss,,
N,400,0.45,8.285782004614588e-17,3.0105392966554807e-13,1.600164868750192e-12,0.5485222024975507,41+1,-0.00015847630380481738,0.44642413631307676,-2.2463937221017485e-19,0.44810586380104145,43+3,901.4318770855549,-872.4671749506907,226.67257809348692,3.98318746858519e-12,gauss,0.0,
radial_nodes,40,0.45,8.285782004614588e-17,3.0105392966554807e-13,1.600164868750192e-12,0.5485222024975507,41+1,-0.00015847630380481738,0.44642413631307676,-2.2463937221017485e-19,0.44810586380104145,43+3,842.454216039583,-812.0582159954346,224.25556839726562,3.98318746858519e-12,gauss,,
radial_nodes,56,0.45,8.285782004614588e-17,3.0105392966554807e-13,1.600164868750192e-12,0.5485222024975507,41+1,-0.00015847630380481738,0.44642413631307676,-2.2463937221017485e-19,0.44810586380104145,43+3,900.8554010589135,-871.9891155443742,226.21988415954053,3.98318746858519e-12,gauss,,
radial_nodes,80,0.45,8.285782004614588e-17,3.0105392966554807e-13,1.600164868750192e-12,0.5485222024975507,41+1,-0.00015847630380481738,0.44642413631307676,-2.2463937221017485e-19,0.44810586380104145,43+3,901.4318770855549,-872.4671749506907,226.67257809348692,3.98318746858519e-12,gauss,0.0,
angular_nodes,48,0.45,7.218545141168814e-17,1.5664663481023286e-13,1.600164868750192e-12,0.5485222024975507,41+1,-0.00015847630380481738,0.44642413631307676,-2.2463937221017485e-19,0.44810586380104145,43+3,901.4318770855838,-872.4671749507551,226.67257809335362,3.9831940860543085e-12,gauss,,
angular_nodes,72,0.45,7.218545141168814e-17,2.6417302969842223e-13,1.600164868750192e-12,0.5485222024975507,41+1,-0.00015847630380481738,0.44642413631307676,-2.2463937221017485e-19,0.44810586380104145,43+3,901.4318770857184,-872.4671749508728,226.67257809343576,3.983198812826808e-12,gauss,1.8135776734703582e-13,
angular_nodes,96,0.45,8.285782004614588e-17,3.0105392966554807e-13,1.600164868750192e-12,0.5485222024975507,41+1,-0.00015847630380481738,0.44642413631307676,-2.2463937221017485e-19,0.44810586380104145,43+3,901.4318770855549,-872.4671749506907,226.67257809348692,3.98318746858519e-12,gauss,,
horizon_cutoff,0.0003,0.45,8.285782004614588e-17,3.0334545361003906e-13,1.600164868750192e-12,0.5485222024975507,41+1,-0.00015847630380481738,0.44642413631307676,-2.2463937221017485e-19,0.44810586380104145,43+3,901.4304280013665,-872.4655871337236,226.67292691041365,5.423528509268213e-13,gauss,,
horizon_cutoff,0.0001,0.45,8.285782004614588e-17,2.1893702759633963e-13,1.600164868750192e-12,0.5485222024975507,41+1,-0.00015847630380481738,0.44642413631307676,-2.2463937221017485e-19,0.44810586380104145,43+3,901.4300982016088,-872.4652531599388,226.67290083361482,1.1463590267002934e-12,gauss,1.9733980918180093e-06,
horizon_cutoff,3e-05,0.45,8.285782004614588e-17,3.0105392966554807e-13,1.600164868750192e-12,0.5485222024975507,41+1,-0.00015847630380481738,0.44642413631307676,-2.2463937221017485e-19,0.44810586380104145,43+3,901.4318770855549,-872.4671749506907,226.67257809348692,3.98318746858519e-12,gauss,,
counterterm_order,2,0.45,8.285782004614588e-17,3.894718210293018e-13,1.600164868750192e-12,0.5485222024975507,41+1,-0.00015847630380481738,0.44642413631307676,-2.2463937221017485e-19,0.44810586380104145,43+3,901.4318770857674,-872.4671749509197,226.6725780934503,3.983248473575491e-12,gauss,,
counterterm_order,3,0.45,8.285782004614588e-17,1.809657212553966e-13,1.600164868750192e-12,0.5485222024975507,41+1,-0.00015847630380481738,0.44642413631307676,-2.2463937221017485e-19,0.44810586380104145,43+3,901.4318770855991,-872.4671749507536,226.67257809342075,3.983233347990561e-12,gauss,4.905992454659036e-14,
counterterm_order,4,0.45,8.285782004614588e-17,3.0105392966554807e-13,1.600164868750192e-12,0.5485222024975507,41+1,-0.00015847630380481738,0.44642413631307676,-2.2463937221017485e-19,0.44810586380104145,43+3,901.4318770855549,-872.4671749506907,226.67257809348692,3.98318746858519e-12,gauss,,
radial_strategy,quad,0.45,8.285782004614588e-17,3.0105392966554807e-13,1.600164868750192e-12,0.5485222024975507,41+1,-0.00015847630380481738,0.44642413631307676,-2.2463937221017485e-19,0.44810586380104145,43+3,901.4304259955356,-872.4655906904576,226.6729052437536,3.98318746858519e-12,quad,,
frozen_configuration,cd68513eb4178d4f,0.1,5.0135217506546736e-17,1.462623293661618e-10,2.6393079771446637e-13,0.3841668178968236,21-1,-3.546446375486724e-11,0.09987360457690089,4.39596776673252e-20,0.09987367262695772,21+1,8742.720308131777,-8742.720280733052,0.6921551633393316,4.1228494972681733e-11,gauss,2.8931519450903354e-08,True
frozen_configuration,cd68513eb4178d4f,0.25,6.825397698862967e-17,1.8108900246100444e-13,6.041101651914489e-14,0.46911119480762914,30+0,-0.00018693317284103269,0.24901364793448275,4.705731674317935e-20,0.24911128042320868,32+2,2300.7990905166844,2294.9389124123154,164.10924172081278,1.701903037261152e-10,gauss,1.276107958012064e-07,True
frozen_configuration,cd68513eb4178d4f,0.45,7.218545141168814e-17,2.9761000817274906e-13,1.600164868750192e-12,0.5485222024975507,41+1,-0.00015847630380481738,0.44642413631307676,-2.2463937221017485e-19,0.44810586380104145,43+3,901.430098201635,-872.4652531599297,226.6729008337543,1.1464419997677095e-12,gauss,1.973398062684738e-06,True
